serial_no,title,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,file_name
00,"Front matter: cover, messages and contents",,,1,12,00_front_matter_cover_messages_contents.pdf
1,"Right to Information Act, 2005",1,48,13,60,01_right_to_information_act_2005_printed_001-048.pdf
2,"RTI Terms of Office, Salaries and Allowances Rules, 2019",49,56,61,68,02_rti_terms_of_office_rules_2019_printed_049-056.pdf
3,Notification: Constitution of Chhattisgarh State Information Commission,57,58,69,70,03_cg_state_information_commission_constitution_printed_057-058.pdf
4,"Chhattisgarh RTI (Application Submission) Rules, 2009",59,60,71,72,04_cg_rti_application_submission_rules_2009_printed_059-060.pdf
5,"Notification: RTI Application Submission Rules, 2009",61,64,73,76,05_application_submission_rules_notification_2009_printed_061-064.pdf
6,Disposal of RTI applications involving another public authority,65,65,77,77,06_transfer_of_rti_application_between_public_authorities_printed_065-065.pdf
7,Guidelines for officers designated as Central Public Information Officers,65,65,77,77,07_guidelines_for_designated_cpio_printed_065-065.pdf
8,Clarification: meaning of information under RTI Act,66,67,78,79,08_clarification_on_meaning_of_information_printed_066-067.pdf
9,"Chhattisgarh RTI (Appeal) Rules, 2006",68,76,80,88,09_cg_rti_appeal_rules_2006_printed_068-076.pdf
10,"Amendment: RTI Appeal Rules, 2006 (23 May 2006)",76,77,88,89,10_appeal_rules_amendment_23_may_2006_printed_076-077.pdf
11,"Amendment: RTI Appeal Rules, 2006 (04 November 2011)",78,79,90,91,11_appeal_rules_amendment_04_nov_2011_printed_078-079.pdf
12,Procedure for disposal of First Appeal cases (20 December 2006),80,84,92,96,12_first_appeal_disposal_procedure_2006_printed_080-084.pdf
13,Disposal of First Appeals within time limit (20 July 2007),85,85,97,97,13_first_appeal_time_limit_2007_printed_085-085.pdf
14,Disposal of requests and hearing of appeals within prescribed time (22 December 2010),85,87,97,99,14_request_disposal_and_appeal_hearing_2010_printed_085-087.pdf
15,First Appeal disposal within time limit (29 April 2013),88,88,100,100,15_first_appeal_disposal_time_limit_2013_printed_088-088.pdf
16,Procedure by First Appellate Authority and appeal disposal (31 October 2014),88,90,100,102,16_faa_procedure_and_appeal_disposal_2014_printed_088-090.pdf
17,Directions for PIO/FAA on supply of information and First Appeal disposal (17 April 2015),90,92,102,104,17_pio_faa_information_supply_and_first_appeal_2015_printed_090-092.pdf
18,Instructions for PIO reply and First Appeal order,92,92,104,104,18_pio_reply_and_first_appeal_order_instructions_printed_092-092.pdf
19,Guidance regarding appeal matters (12 April 2006),93,93,105,105,19_appeal_guidance_12_april_2006_printed_093-093.pdf
20,Display of names and designations of appointed officers (13 April 2006),94,94,106,106,20_display_names_and_designations_of_officers_2006_printed_094-094.pdf
21,"Appeal form: mention PIO/FAA name, designation and address (30 December 2011)",94,95,106,107,21_appeal_form_must_show_pio_faa_details_2011_printed_094-095.pdf
22,Mention PIO/FAA name and designation in reply and orders (11 August 2015),95,96,107,108,22_pio_faa_details_in_reply_and_order_2015_printed_095-096.pdf
23,Display board of appointed RTI officers,96,96,108,108,23_display_board_of_rti_officers_printed_096-096.pdf
24,"Chhattisgarh Gazette: RTI Fees and Value Regulation Rules, 2005",97,98,109,110,24_cg_rti_fee_and_value_rules_2005_printed_097-098.pdf
25,Rule 3 amendment: non-judicial stamp / e-stamp (06 January 2021),99,99,111,111,25_fee_rules_non_judicial_stamp_amendment_2021_printed_099-099.pdf
26,"Notification: amendment to Fees and Value Regulation Rules, 2005",100,100,112,112,26_fee_value_regulation_rules_amendment_2006_printed_100-100.pdf
27,"Amendment: English translation of Fees and Value Regulation Rules, 2005",100,100,112,112,27_fee_rules_english_translation_amendment_2006_printed_100-100.pdf
28,"Amendment to Chhattisgarh RTI Fees and Value Regulation Rules, 2005",101,101,113,113,28_cg_rti_fee_value_regulation_rules_2005_amendment_printed_101-101.pdf
29,"Notification: Chhattisgarh RTI Fees and Charges Rules, 2007",102,103,114,115,29_cg_rti_fee_and_charge_rules_2007_notification_printed_102-103.pdf
30,Notification: amendment to Fees and Charges Rules (14 November 2013),104,104,116,116,30_fee_and_charge_rules_amendment_2013_printed_104-104.pdf
31,"Deletion of Rule 4 of Chhattisgarh RTI Fees and Charges Rules, 2007",104,104,116,116,31_deletion_of_rule_4_fee_and_charge_rules_2013_printed_104-104.pdf
32,"Fees and Charge Rules, 2007 (12 October 2006)",105,105,117,117,32_fees_and_charge_rules_2007_english_printed_105-105.pdf
33,"Notification: Amendment Rules, 2006 (Fees and Charges, 10 July 2008)",106,106,118,118,33_amendment_rules_2006_fee_and_charge_2008_printed_106-106.pdf
34,Clarification regarding fee (13 September 2007),107,107,119,119,34_fee_clarification_13_september_2007_printed_107-107.pdf
35,Payment of RTI fee through Indian Postal Order (07 June 2011),107,107,119,119,35_rti_fee_payment_by_indian_postal_order_2011_printed_107-107.pdf
36,Payment of RTI fee through Indian Postal Order (26 April 2012),108,108,120,120,36_rti_fee_payment_by_indian_postal_order_2012_printed_108-108.pdf
